X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
617,IL,Menard County,17129,2020/7/1,0.512613932,0.219807943,0.193522135,74872,12196,0.821203058,0.146164252,0.39,0.631162289,8.983258473,16.2145717,0.008626302,0.015625,3,9,38.78641394,-0.402830441,-0.27379995,-0.369767058,32.79763857,24.59822893,16.39881929,0,0,0,-0.115005046,0
821,IA,Plymouth County,19149,2020/7/1,0.50069735,0.249930265,0.183741781,66360,25177,0.81646434,0.149033997,0.54,0.698553949,16.65344964,340.508193,0.008647141,0.056545129,3,8.1,29.17753132,-0.275960375,-0.266649478,-0.334978646,39.71879096,31.77503277,15.88751638,0,0,0,-0.087372338,0
620,IL,Montgomery County,17135,2020/7/1,0.476137198,0.20065732,0.201531415,53138,28414,0.873509216,0.161100204,0.31,0.549753695,14.93574158,61.97650381,0.03503374,0.01751687,6,14.4,40.37857579,-0.265377798,-0.207337753,-0.36505709,80.94601253,56.31026959,31.67452664,0,0,0,-0.064433828,1
621,IL,Morgan County,17137,2020/7/1,0.492376972,0.18860372,0.200111844,48976,33658,0.824311183,0.161365253,0.42,0.600893612,14.49789928,81.55134002,0.068724982,0.024811632,4,15.2,59.17473936,-0.3196827,-0.184871168,-0.261196628,53.47911344,38.62380415,29.71061858,2.971061858,2.971061858,2.971061858,-0.014936254,1
622,IL,Moultrie County,17139,2020/7/1,0.510498064,0.254059931,0.189033091,59901,14501,0.780751792,0.156962604,0.43,0.639846743,13.61655773,86.74208712,0.005435891,0.015288442,6,9.6,43.16544621,-0.340530561,-0.260017968,-0.391025316,27.58430453,13.79215227,13.79215227,0,0,0,-0.145545327,1
1619,NE,Dodge County,31053,2020/7/1,0.503764508,0.244162975,0.192356826,51682,36565,0.825475826,0.173990073,0.61,0.61642535,13.89380772,42.98586304,0.009377293,0.133673996,4,9.8,69.15889618,-0.262209306,-0.243784398,-0.322956328,136.7427868,49.22740325,30.0834131,0,0,0,-0.11196236,1
624,IL,Peoria County,17143,2020/7/1,0.515466086,0.235958167,0.170611391,56478,179179,0.827265496,0.165955653,0.49,0.712012031,13.87894717,238.5219006,0.183179143,0.049152646,2,16.6,289.3670968,-0.420265167,-0.406926506,-0.416304065,37.95087594,23.99834802,16.7430335,1.116202234,1.116202234,0.558101117,-0.148470222,0
626,IL,Piatt County,17147,2020/7/1,0.504452305,0.225481825,0.193583801,67460,16344,0.853051643,0.134295471,0.49,0.729100529,14.59410155,42.4584098,0.006708953,0.013661869,3,7.3,37.21311475,-0.321661694,-0.318859682,-0.401085009,42.82917279,42.82917279,36.71071953,0,0,0,-0.1042551,0
786,IA,Hamilton County,19079,2020/7/1,0.501672017,0.226658641,0.204989299,56738,14773,0.834603557,0.151132012,0.53,0.701877934,14.55507774,218.1596075,0.011503478,0.062600321,6,8.4,25.6142176,-0.10973878,-0.076988453,-0.167956617,47.38374061,13.5382116,13.5382116,0,0,0,-0.010987041,1
805,IA,Lucas County,19117,2020/7/1,0.490341238,0.23227299,0.217698091,49956,8600,0.840961391,0.153134812,0.39,0.652976191,14.06140145,262.7399372,0.003470214,0.022093696,6,15.1,19.97259574,-0.226930333,-0.17431522,-0.190928616,0,0,0,0,0,0,-0.084287108,1
